AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players
490110,The Precinct,5/13/2025,Action,Crime;Detective;Sandbox;Open World;Top-Down Shooter;Singleplayer;Noir;Investigation;Simulation;3D,22.49,25,85,6996,Unknown,209880,553
1601580,Frostpunk 2,9/20/2024,Simulation,City Builder;Strategy;Survival;Resource Management;Post-apocalyptic;Simulation;Singleplayer;Steampunk;Management;Base Building,44.99,0,70,19415,Unknown,582450,525
1092790,Inscryption,10/19/2021,Adventure,Card Battler;Card Game;Story Rich;Deckbuilding;Horror;Puzzle;Dark;Roguelike;Strategy;Roguelite,19.99,0,94,129955,Unknown,3898650,1301
1159690,Voidtrain,11/7/2025,Action,Open World Survival Craft;Co-op;Trains;Multiplayer;Survival;Base Building;Open World;Crafting;Online Co-Op;Adventure,29.99,0,69,7995,Unknown,239850,97
2212330,Your Only Move Is HUSTLE,2/2/2023,Action,2D Fighter;Turn-Based Strategy;Action;Strategy;Spectacle fighter;Pixel Graphics;2D;Turn-Based Tactics;Sandbox;Simulation,4.99,0,96,34294,Unknown,1028820,613
1443200,Class of '09,6/10/2021,Casual,Casual;Choose Your Own Adventure;Comedy;RPG;2D;Female Protagonist;America;Visual Novel;Satire;Third Person,9.99,0,92,7679,Unknown,230370,46
1790930,Crisol: Theater of Idols,2/10/2026,Action,Narration;Horror;FPS;Shooter;Action-Adventure;First-Person;Story Rich;Linear;Action;Puzzle,17.99,0,87,2886,Unknown,86580,0
3590,Plants vs. Zombies GOTY Edition,5/5/2009,Strategy,Tower Defense;Zombies;Strategy;Singleplayer;Casual;Classic;Great Soundtrack;2D;Comedy;Family Friendly,4.99,0,97,138061,Unknown,4141830,2656
816340,Kingdom Rush Origins - Tower Defense,10/17/2018,Indie,Tower Defense;Strategy;2D;Singleplayer;Difficult;Casual;Building;Tactical;Medieval;Action-Adventure,7.49,50,97,7091,Unknown,212730,136
1566200,Tape to Tape,5/3/2023,Action,Colorful;Sports;Hockey;Roguelite;Character Customization;Co-op;Choices Matter;Roguelike;Management;RPG,19.99,0,89,3192,Unknown,95760,60
